employee_id,name,department,age,salary,years_at_company,performance_score,remote_worker,city
1,Victor Armstrong,Sales,38,124892.0,6,2.43,True,Johnmouth
2,William Flores,Finance,24,73830.0,4,4.45,False,New Donaldtown
3,Matthew Rose,Marketing,38,121554.0,17,4.87,False,Lake Katherine
4,Brandy Mcbride,Finance,30,136748.0,15,4.97,True,Millerchester
5,Crystal Garcia,Sales,41,132477.0,11,3.26,True,West Amandatown
6,Lisa Calhoun,Sales,56,71050.0,5,1.6,False,South Joseph
7,Sarah Hood,Sales,25,64230.0,10,3.18,True,New Holly
8,Kim Delacruz,Sales,43,,19,,False,Garciafurt
9,Karen Schmidt,Marketing,49,35212.0,10,4.62,True,Torresland
10,Maxwell Smith,Operations,31,115092.0,8,2.33,True,Ginaview
11,Hannah Wright,Marketing,39,46457.0,8,4.66,True,North Denise
12,Elizabeth Smith,Engineering,42,121346.0,2,1.08,False,New Gregory
13,Richard Wood,HR,40,106202.0,5,4.52,True,New Lauratown
14,Maria Wong,Engineering,37,55611.0,2,1.24,False,Wardside
15,Bryan Rivas,Sales,38,137312.0,2,2.43,False,Mariaview
16,Robert Steele,Sales,55,73046.0,5,1.43,True,Andersonmouth
17,Cheryl Donovan,Marketing,49,96873.0,14,1.91,True,Sonyaside
18,Randy Simmons,Finance,45,104529.0,11,1.6,True,Julieborough
19,Sarah Webb,Engineering,46,38812.0,18,4.56,False,Valeriefurt
20,Kimberly Page,HR,26,60867.0,17,4.66,True,Lake Catherine
21,Daniel Villarreal,Finance,31,77487.0,14,3.43,True,Lake Teresa
22,Sheila Johnson,Sales,53,,1,1.65,True,Lake Martin
23,Manuel Guzman,Finance,46,127879.0,1,2.06,True,Josephhaven
24,Jenna Perry,Operations,25,92388.0,10,2.49,False,South Kylebury
25,Ashley Moon,Sales,31,90145.0,19,3.87,False,West Markville
26,Richard Gonzales,Operations,53,90406.0,17,3.16,True,East Eric
27,Joshua Scott,Engineering,46,78222.0,20,1.42,False,Josephbury
28,Richard Macdonald,Marketing,56,50619.0,2,3.17,False,Howellfurt
29,Tyler Richardson,Sales,27,81276.0,19,4.76,False,New Brandon
30,Amber Moore,Marketing,26,122009.0,11,4.08,False,East Jeffreyville
31,Steven Jackson,Operations,39,86155.0,16,3.11,True,South Adrianaborough
32,Victor Olson,Marketing,33,82126.0,0,2.43,False,Jasonshire
33,Michael Brown,Operations,38,89721.0,9,2.33,True,Haasville
34,Tina Roberson,Engineering,39,138669.0,2,3.64,False,New Daisychester
35,Stephanie Brown,Finance,50,114089.0,2,3.12,False,West Cynthia
36,Patricia Shah,Engineering,51,,0,2.41,False,Port Sarashire
37,Jamie Smith,Operations,55,95205.0,16,1.28,True,Gregorymouth
38,Sarah Wilson,HR,35,42062.0,9,3.93,False,Woodfurt
39,Monica Lewis,HR,31,51676.0,8,2.64,True,Andreahaven
40,Craig Burke,Engineering,55,68643.0,6,2.09,False,Jasonmouth
41,Manuel Bennett,HR,40,83126.0,17,2.92,True,Snyderview
42,Elizabeth Griffin,Marketing,34,,14,2.99,False,Michellefort
43,Tammy French,Operations,53,,6,2.86,False,Lake Scott
44,Nathaniel Hancock,Operations,24,93627.0,17,1.8,False,Gomezton
45,William Barber,HR,51,118610.0,10,3.22,True,Joshuaside
46,Brandon Young,Marketing,39,66692.0,9,2.3,False,South Phyllis
47,Brenda Barrera,Sales,51,50319.0,20,1.12,False,Tabithabury
48,Tonya Gutierrez,HR,34,104493.0,19,3.87,False,Jeanettechester
49,Joy Pena,Engineering,44,72194.0,10,4.7,True,New Chad
50,Daniel Kirk,HR,35,51859.0,13,1.36,True,West Shelly
51,Samuel Kent,Marketing,60,67697.0,9,2.19,False,Beckburgh
52,Paul Wong,Marketing,54,41410.0,9,2.93,False,Michaelfurt
53,Angel Livingston,HR,30,68401.0,2,3.2,True,Lake Heather
54,Jamie Mendoza,Operations,23,113522.0,0,2.37,False,Port Ericview
55,Thomas Dudley,Operations,48,42421.0,14,4.21,True,Jameston
56,Alexandria Chavez,Engineering,45,106544.0,5,4.26,True,Latoyabury
57,Neil Greene,Finance,58,83190.0,0,4.65,True,East Sheilastad
58,Maurice Parks,HR,38,,13,2.38,False,South Phillip
59,Ashley Sanders,Marketing,46,90880.0,2,1.27,False,Patelview
60,Patrick Benton,Operations,22,61327.0,1,3.88,False,Lake Jason
61,Mary Allen,Engineering,39,136562.0,14,1.94,True,Johnport
62,Dylan Johnston,HR,29,112574.0,13,1.4,False,East Johnberg
63,Pedro Pierce,Engineering,48,96309.0,0,4.65,False,Paulmouth
64,Christopher Ortiz,Operations,42,38095.0,5,1.48,True,Williamsland
65,Tammy King,Sales,42,100605.0,0,2.1,True,Kimberlybury
66,Gregory Johnson,Sales,46,65781.0,0,2.54,False,Edwardshaven
67,Charles Hensley,Marketing,57,50480.0,7,3.46,False,South Daniel
68,Katherine Mooney,Marketing,35,119715.0,4,4.89,True,Calderonfurt
69,Cheryl Mann,Sales,48,132587.0,16,3.54,False,Meganport
70,Nicole Hunter,Sales,56,100543.0,18,3.97,False,Lake Vanessa
71,Keith Russell,HR,26,45750.0,18,4.04,False,Lake Patriciaton
72,Suzanne Decker,Finance,33,63049.0,2,2.47,False,Kellyview
73,John Scott,Sales,38,,9,4.82,False,New Luis
74,Michelle Elliott,Engineering,23,136180.0,4,2.26,True,Jackview
75,Destiny Owens,Sales,42,130986.0,18,1.17,True,South Nicholas
76,James Smith,Engineering,37,111713.0,14,2.12,True,New Deanna
77,Ashley Hopkins,Engineering,24,94935.0,15,2.34,True,Cristianburgh
78,Daniel Brown,HR,55,,0,1.09,False,Jamesfort
79,Bobby Lopez,Finance,57,94662.0,8,4.93,False,East Joshuabury
80,Donna Allen,Sales,51,67216.0,3,1.73,True,Lake Michaelmouth
81,Christopher Nguyen,Finance,35,104248.0,8,2.39,False,Craigfurt
82,Aimee Andrews,Marketing,30,44532.0,8,3.62,False,Andersonstad
83,Melissa Peterson,Finance,23,137799.0,19,3.26,False,Lopezmouth
84,Christopher Reilly,Sales,22,79837.0,15,1.39,False,West Sherri
85,Shawn Roberts,Finance,54,119310.0,10,1.52,False,Johnfurt
86,Danielle Bond,Engineering,60,91151.0,13,2.21,True,West Carlos
87,Deanna Fowler,Operations,34,66585.0,0,3.3,False,South Juliemouth
88,Nicole Lambert,Engineering,31,127962.0,4,1.22,True,Port Jill
89,Dr. Melissa Diaz,Marketing,27,,19,2.06,False,Tiffanyside
90,Michael Case,HR,56,76783.0,5,2.79,True,Taylortown
91,Amanda Mitchell,Marketing,52,64401.0,19,1.78,False,East Brandonmouth
92,Richard Martinez,Operations,46,117028.0,4,4.85,False,Lake Shawnamouth
93,Kevin Campos,Finance,33,,7,3.63,False,Lake Jennifer
94,Kimberly Fox,Engineering,35,96949.0,7,1.91,True,Myersfurt
95,Andrea Clements,Sales,44,97461.0,20,1.69,False,Michellemouth
96,Christopher Lee,HR,36,37946.0,20,3.26,False,Cathyborough
97,Joseph Garcia,Engineering,51,78193.0,20,1.88,True,Port Davidview
98,Wendy Black,Operations,35,97835.0,13,1.8,True,Joannaville
99,Brenda Baker,Operations,37,50843.0,5,2.31,True,Tiffanyberg
100,Julie Bullock,Marketing,60,75783.0,14,2.16,False,East Manuel
101,Mia Brock,Sales,47,135007.0,15,4.59,True,Jasmineborough
102,Allison Riley,Sales,45,96773.0,12,4.43,False,Lake Alexandriachester
103,Lori Morse,Marketing,55,106012.0,13,2.03,False,New Gary
104,Michelle Kelly,Operations,56,133970.0,13,2.95,True,Christinachester
105,Karen Mata,Marketing,50,70828.0,1,1.38,False,New Brandon
106,Omar Dixon,Marketing,27,126639.0,16,4.5,True,Guzmanport
107,Brian Powell,Sales,26,96483.0,19,4.11,True,New Codyton
108,Marvin Evans,Sales,54,113392.0,2,4.86,False,Angelaton
109,Robert Burton,Operations,54,56375.0,6,4.98,True,Henrychester
110,Daniel Delacruz,Sales,31,,4,4.94,False,Derricktown
111,Carlos Williams,HR,30,139157.0,20,3.68,False,New Patricia
112,Gail Owens,HR,24,130171.0,13,4.45,True,Christophermouth
113,Robin Sims,HR,37,135174.0,20,2.58,True,Macdonaldberg
114,Sean Hernandez,Marketing,56,137240.0,14,4.54,True,Sheilafort
115,Michael Jones,Marketing,43,102445.0,6,2.16,True,West Robinfurt
116,Rachael Bailey,HR,39,49566.0,20,3.63,False,South Johnport
117,Ashley Woods,Sales,43,68105.0,1,3.91,False,Pamelaside
118,Jeremy Wright,Finance,45,100302.0,11,4.62,True,West Joeltown
119,Kristopher Sheppard,Marketing,36,135925.0,9,4.54,True,Shannonmouth
120,Julie Goodwin,Sales,57,,6,1.66,False,Alexandriaville
121,Joseph Whitney,Sales,27,124746.0,16,4.94,False,Kleinton
122,Amanda Huffman,Engineering,57,88059.0,15,2.27,False,Katherineton
123,Jeremy Cox,Sales,27,135051.0,12,3.97,True,Shawnshire
124,Andrew Gomez Jr.,Operations,48,130027.0,2,2.56,True,North Christopher
125,Lindsey Lee,Sales,30,120040.0,0,,True,Lake Jessicachester
126,Sharon Williams,HR,28,129257.0,20,1.57,False,Adamsbury
127,Cristian Barr,Engineering,26,108581.0,7,1.25,False,Gracefort
128,Steven Morrison,HR,38,138265.0,6,4.1,True,South Robertfort
129,Daniel Baldwin,Operations,49,40682.0,4,2.48,False,Port David
130,Susan Thomas,Engineering,55,,14,4.4,False,Russellland
131,James Hartman,Operations,42,81324.0,10,3.22,False,North Thomas
132,Joseph Young,Operations,57,118727.0,1,1.83,True,East Kenneth
133,Daniel Hawkins,HR,53,132332.0,16,2.31,False,Jessicaborough
134,Marc Gregory,Finance,25,73551.0,11,2.86,False,Stevensside
135,Angela Arellano,Engineering,54,95103.0,1,2.97,False,South Heatherfurt
136,James Howard,Operations,51,42571.0,8,1.91,False,North Brandi
137,Katrina Marshall,Operations,42,128665.0,10,1.3,True,Margarethaven
138,Angel Wilson,Engineering,57,93465.0,14,3.0,True,Maryfort
139,Brenda Hernandez,HR,44,40960.0,1,2.02,True,South Thomas
140,Jay Dixon,HR,56,80711.0,6,4.86,False,Lake Natalie
141,Dustin Roach,Finance,55,48721.0,18,4.29,False,Carolberg
142,Kathryn Obrien,HR,23,119176.0,3,2.59,False,Dunnborough
143,Janet Cervantes,Operations,23,115846.0,1,3.78,True,Judithstad
144,Jordan Gibson,Sales,27,,20,3.08,False,Alexanderton
